Time,AvgFPS,1%low
6.579624,0,0
6.586747,0,0
6.595767,0,0
6.603693,0,0
6.612602,0,0
6.620711,0,0
6.629351,0,0
6.636647,0,0
6.644986,0,0
6.653177,0,0
6.661113,0,0
6.669226,0,0
6.677377,0,0
6.684859,0,0
6.694769,0,0
6.702437,0,0
6.711961,0,0
6.721239,0,0
6.730234,0,0
6.738718,0,0
6.747385,0,0
6.75619,0,0
6.764222,0,0
6.772729,0,0
6.780807,0,0
6.789246,0,0
6.797955,0,0
6.805942,0,0
6.814838,0,0
6.822322,0,0
6.831095,0,0
6.83902,0,0
6.847143,0,0
6.855361,0,0
6.862848,0,0
6.871354,0,0
6.879045,0,0
6.886669,0,0
6.895586,0,0
6.903268,0,0
6.911958,0,0
6.919811,0,0
6.927807,0,0
6.936534,0,0
6.944005,0,0
6.95244,0,0
6.960514,0,0
6.968952,0,0
6.978031,0,0
6.985531,0,0
6.994208,0,0
7.003567,0,0
7.012248,0,0
7.020276,0,0
7.029688,0,0
7.038334,0,0
7.046457,0,0
7.055063,0,0
7.063439,0,0
7.072755,0,0
7.082009,0,0
7.090979,0,0
7.098888,0,0
7.10723,0,0
7.116643,0,0
7.124685,0,0
7.134674,0,0
7.143728,0,0
7.153266,0,0
7.161752,0,0
7.171654,0,0
7.180188,0,0
7.188701,0,0
7.197595,0,0
7.206116,0,0
7.216005,0,0
7.224455,0,0
7.233625,0,0
7.241937,0,0
7.250587,0,0
7.258674,0,0
7.266789,0,0
7.27619,0,0
7.284109,0,0
7.292779,0,0
7.300899,0,0
7.310165,0,0
7.318241,0,0
7.326272,0,0
7.334591,0,0
7.343211,0,0
7.353151,0,0
7.361059,0,0
7.369789,0,0
7.377737,0,0
7.386085,0,0
7.39435,0,0
7.403012,0,0
7.411773,0,0
7.420641,0,0
7.429953,0,0
7.438278,0,0
7.446167,0,0
7.455023,0,0
7.462931,0,0
7.473344,0,0
7.481481,0,0
7.490095,0,0
7.4983,0,0
7.507662,0,0
7.519267,0,0
7.52901,0,0
7.538616,0,0
7.5466,0,0
7.556289,0,0
7.564586,0,0
7.573258,0,0
7.581005,0,0
7.589422,0,0
7.599841,0,0
7.610093,0,0
7.618469,0,0
7.62644,0,0
7.635694,0,0
7.644207,0,0
7.652275,0,0
7.659796,0,0
7.667658,0,0
7.675635,0,0
7.68319,0,0
7.690919,0,0
7.69869,0,0
7.706523,0,0
7.715117,0,0
7.722497,0,0
7.731272,0,0
7.738427,0,0
